"URL","File Size (Bytes)","# Outlinks","Content Type"
"https://www.usatoday.com/story/news/pr/2021/02/18/usa-today-network-brings-augmented-reality-more-local-apps/6789311002/","87046","97","text/html"
"https://www.usatoday.com/staff/4858892002/becky-kellogg/","153515","184","text/html"
"https://www.usatoday.com/staff/9416919002/ariana-triggs/","157557","186","text/html"
"https://www.usatoday.com/staff/5551640001/safid-deen/","169124","188","text/html"
"https://www.usatoday.com/staff/2648427001/ken-alltucker/","164031","187","text/html"
"https://www.usatoday.com/staff/5072519001/alicia-delgallo/","154288","185","text/html"
"https://www.usatoday.com/staff/2648378001/amy-pyle/","142797","185","text/html"
"https://www.usatoday.com/staff/2646522001/rachel-murphy/","163117","187","text/html"
"https://www.usatoday.com/staff/2647128001/jodie-lau/","141315","184","text/html"
"https://www.usatoday.com/staff/2647492001/jack-gruber/","164340","188","text/html"
"https://www.usatoday.com/staff/2647868001/erick-smith/","167897","188","text/html"
"https://www.usatoday.com/staff/2646475001/stephen-j-beard/","167978","189","text/html"
"https://www.usatoday.com/staff/6421230002/justin-schultz/","141271","184","text/html"
"https://www.usatoday.com/staff/9193288002/madison-tenenbaum/","140891","184","text/html"
"https://www.usatoday.com/staff/2646336001/sarah-scanlan/","162117","186","text/html"
"https://www.usatoday.com/staff/11307982002/carissa-quiambao/","143162","184","text/html"
"https://www.usatoday.com/staff/9804656002/holly-rosenkrantz/","143067","184","text/html"
"https://www.usatoday.com/staff/9225973002/james-brown/","168187","189","text/html"
"https://www.usatoday.com/staff/8856149002/morgan-absher/","162547","186","text/html"
"https://www.usatoday.com/staff/2648435001/andrea-kramar/","160791","186","text/html"
"https://www.usatoday.com/staff/3932190001/marc-ramirez/","163446","186","text/html"
"https://www.usatoday.com/staff/2647342001/jeanine-santucci/","164326","187","text/html"
"https://www.usatoday.com/staff/2646140001/tom-vanden-brook/","165014","187","text/html"
"https://www.usatoday.com/staff/2647373001/joe-rayos/","141191","184","text/html"
"https://www.usatoday.com/staff/4689564002/emily-le-coz/","144348","184","text/html"
"https://www.usatoday.com/staff/7129909001/amber-bouman/","142398","184","text/html"
"https://www.usatoday.com/staff/2647665001/jj-hensley/","158851","184","text/html"
"https://www.usatoday.com/staff/8256568002/cody-godwin/","158194","186","text/html"
"https://www.usatoday.com/staff/2647771001/elizabeth-weise/","162717","186","text/html"
"https://www.usatoday.com/staff/5545789001/tracy-martinez/","147242","184","text/html"
"https://www.usatoday.com/staff/8182884002/monique-o-madan/","154695","187","text/html"
"https://www.usatoday.com/staff/5467207001/terry-baddoo/","161892","186","text/html"
"https://www.usatoday.com/staff/10437939002/nicole-fallert/","162154","187","text/html"
"https://www.usatoday.com/staff/10485272002/isabella-fertel/","164085","187","text/html"
"https://www.usatoday.com/staff/8850773002/monica-petrucci/","164626","187","text/html"
"https://www.usatoday.com/staff/2648029001/charles-ventura/","161817","186","text/html"
"https://www.usatoday.com/staff/2647916001/david-oliver/","164423","187","text/html"
"https://www.usatoday.com/staff/2648373001/adrianna-rodriguez/","164271","187","text/html"
"https://www.usatoday.com/staff/2646911001/morgan-hines/","164183","187","text/html"
"https://www.usatoday.com/staff/10350155002/nirvi-shah/","155139","186","text/html"
"https://www.usatoday.com/staff/4281063001/jordan-mendoza/","164383","187","text/html"
"https://www.usatoday.com/staff/2646453001/steve-coogan/","162418","187","text/html"
"https://www.usatoday.com/staff/9893367002/eleanor-mccrary/","162649","186","text/html"
"https://www.usatoday.com/staff/2646783001/martina-stewart/","151306","186","text/html"
"https://www.usatoday.com/staff/7234984001/michael-sykes/","149005","184","text/html"
"https://www.usatoday.com/staff/2646719001/nicole-poell/","165265","187","text/html"
"https://www.usatoday.com/staff/2647366001/john-riley/","147798","184","text/html"
"https://www.usatoday.com/staff/8086388002/laura-trujillo/","149671","184","text/html"
"https://www.usatoday.com/staff/2647582001/jarrett-bell/","165874","188","text/html"
"https://www.usatoday.com/staff/2684137001/steve-gardner/","166236","188","text/html"
"https://www.usatoday.com/staff/7415496001/bryan-kalbrosky/","141989","184","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/20174304/usi-affinity-travel.png","6117","0","image/png"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/20112224/cat-70.png","4259","0","image/png"
"https://www.usatoday.com/story/travel/10best/2023/02/25/guide-las-vegas-black-history-culture-tours-dining/51306931/","182569","171","text/html"
"https://www.usatoday.com/story/travel/destinations/2023/02/28/world-best-beaches-tripadvisor-top-10/11363323002/","169103","168","text/html"
"https://www.usatoday.com/story/news/weather/2023/03/01/yosemite-national-park-closed-due-snow-when-open/11375785002/","183944","163","text/html"
"https://www.usatoday.com/story/travel/columnist/2023/03/03/visit-new-york-city-cheap/11373836002/","172026","167","text/html"
"https://www.usatoday.com/story/travel/news/2023/03/03/popular-airbnb-spring-break-destinations/11384613002/","170177","172","text/html"
"https://www.usatoday.com/story/travel/cruises/2023/03/03/cruise-deal-princess-cruises-offering-up-40-off-fares/11390157002/","163123","163","text/html"
"https://www.usatoday.com/story/travel/destinations/2023/03/04/greek-island-visit-rhodes/11340180002/","193301","157","text/html"
"https://www.usatoday.com/story/travel/cruises/2023/03/02/msc-cruises-raises-beverage-package-prices/11381530002/","168181","165","text/html"
"https://www.usatoday.com/story/travel/columnist/2023/03/03/hotel-refund-what-to-do/11373192002/","178440","174","text/html"
"https://www.usatoday.com/story/travel/2023/03/05/authentic-hawaiian-luau-hawaii/11123471002/","168384","169","text/html"
"https://www.usatoday.com/story/travel/cruises/2023/03/01/regent-seven-seas-sailing-new-culinary-cruises-through-2025/11373012002/","169603","164","text/html"
"https://www.usatoday.com/story/travel/cruises/2023/02/08/cruise-medical-help-doctor/11043642002/","171704","166","text/html"
"https://www.usatoday.com/storytelling/quiz/news-quiz/2023-03-03/","49328","35","text/html"
"https://www.usatoday.com/story/news/investigations/2023/02/28/fresno-state-botched-sexual-misconduct-complaints-lawsuits-allege/11332189002/","170514","161","text/html"
"https://www.usatoday.com/story/travel/experience/america/national-parks/2021/08/03/national-parks-leave-no-trace-principles-environment-wildlife-crowded/8055942002/","215651","181","text/html"
